id,cluster,problem_statement,need_actor,payer_candidate,current_workaround,capability_route,evidence_level,status,source_key,primary_validation_question
ASEAN-001,customs_docs,Cross-document inconsistencies among invoice packing list and bill of lading,export clerk,exporting SME,manual comparison,AI extraction plus deterministic consistency checks,MEDIUM,HYPOTHESIS,E3_E6,How often do discrepancies cause rework delay or broker callbacks?
ASEAN-002,customs_docs,Missing required fields before customs submission,export clerk,exporting SME,broker catches errors late,required-field checklist plus document parser,MEDIUM,HYPOTHESIS,E3_E6,What fields are most often missed and what does each miss cost?
ASEAN-003,customs_docs,Inconsistent product descriptions across trade documents,export clerk,exporting SME,copy paste and manual editing,terminology normalization plus source-linked review,LOW,HYPOTHESIS,E3,Does inconsistent wording materially delay clearance or increase questions?
ASEAN-004,classification,HS code research is time consuming and uncertain,export clerk or customs operator,exporting SME or customs-service firm,manual tariff database search,AI research assistant with mandatory expert confirmation,MEDIUM,HYPOTHESIS,E3_E4,Who currently pays for classification effort and how often is it repeated?
ASEAN-005,rules_of_origin,Staff struggle to determine rules-of-origin eligibility,export clerk,exporting SME,manual agreement and tariff lookup,source-backed eligibility checklist,MEDIUM,HYPOTHESIS,E4,How many shipments attempt preferential treatment and how often is eligibility unclear?
ASEAN-006,rules_of_origin,Preferential tariff evidence packs are assembled manually,export clerk,exporting SME,spreadsheet and document chasing,evidence pack generator plus missing-item detection,MEDIUM,HYPOTHESIS,E4,What labor time is spent assembling evidence for each shipment or SKU?
ASEAN-007,rules_of_origin,Certificate-of-origin readiness is checked late,export clerk,exporting SME,broker or chamber feedback after preparation,pre-submission readiness checklist,MEDIUM,HYPOTHESIS,E4,Would firms pay to reduce rejected or corrected certificate submissions?
ASEAN-008,market_entry,Country-specific import requirements are fragmented across sources,SME owner or export clerk,exporting SME,search engines consultants and agents,verified requirement checklist with provenance,HIGH,HYPOTHESIS,E4_E6,Which product-country pairs create repeated paid research today?
ASEAN-009,market_entry,Label and packaging rules are hard to track by country,product or export staff,exporting SME,consultants and manual web research,SKU-to-country labeling checklist,MEDIUM,HYPOTHESIS,E4,Which labeling errors have caused relabeling rejection or delay?
ASEAN-010,market_entry,Certification and permit requirements are difficult to triage,SME owner or export clerk,exporting SME,consultant calls and ad hoc searches,triage assistant plus qualified expert routing,HIGH,HYPOTHESIS,E4_E6,Which certifications create enough cost or delay to justify a paid pre-check?
ASEAN-011,regulatory_watch,Regulatory changes are not mapped to affected SKUs,compliance or export staff,exporting SME,newsletters and manual reading,regulation watch plus SKU impact mapping,MEDIUM,HYPOTHESIS,E4_E6,How often do changes trigger urgent manual review?
ASEAN-012,tariff_watch,Tariff and trade-policy changes require manual product-specific interpretation,SME owner or export manager,exporting SME,broker updates and manual lookup,product-specific tariff impact brief,MEDIUM,HYPOTHESIS,E3_E4,Would firms pay recurring fees for only changes that affect their products?
ASEAN-013,multilingual_sales,Inbound multilingual inquiries must be manually translated and structured,salesperson,exporting SME,translation tools plus manual notes,LLM extraction into RFQ schema,HIGH,HYPOTHESIS,E1_E6,How many inquiries per week and how much staff time is spent understanding them?
ASEAN-014,multilingual_sales,Quotations require repeated translation and terminology control,salesperson,exporting SME,manual templates and translation tools,controlled terminology quotation drafting,MEDIUM,HYPOTHESIS,E1_E6,Do translation mistakes or slow response reduce conversion?
ASEAN-015,sales_ops,WhatsApp and email follow-ups are scattered across channels,salesperson,exporting SME,manual reminders and spreadsheets,follow-up extraction and queue generation,MEDIUM,HYPOTHESIS,E1,How many qualified leads are lost or delayed because follow-up is not systematic?
ASEAN-016,sales_ops,Buyer questions are routed manually to engineering logistics or finance,salesperson,exporting SME,forwarding messages and group chats,intent classification plus internal owner routing,LOW,HYPOTHESIS,E1,Is routing delay frequent enough to affect response time or close rate?
ASEAN-017,quotation,Export quotations omit or mismatch commercial terms,salesperson,exporting SME,template review,quotation completeness and Incoterms consistency checks,MEDIUM,HYPOTHESIS,E3,Which mistakes create rework disputes or margin leakage?
ASEAN-018,logistics,Freight quotations are difficult to compare because formats differ,logistics or export staff,exporting SME or forwarder,manual spreadsheet normalization,quote parser and normalized comparison,HIGH,HYPOTHESIS,E3_E6,How many quotes are compared per shipment and what dimensions drive decisions?
ASEAN-019,logistics,Shipment exceptions require manual synthesis before customer updates,logistics staff,exporting SME or forwarder,reading carrier messages and writing updates,exception summarizer plus customer update draft,MEDIUM,HYPOTHESIS,E3,How often do exception communications consume paid staff time?
ASEAN-020,warehouse,Overseas warehouse inventory exceptions are found late,operations staff,cross-border merchant or exporter,portal checks and spreadsheets,exception detection and alerting,MEDIUM,HYPOTHESIS,E6,What stockouts discrepancies or aging inventory create measurable losses?
ASEAN-021,ecommerce,Marketplace listings require localization and field compliance,cross-border seller,merchant,manual listing adaptation,localization plus required-field validation,MEDIUM,HYPOTHESIS,E5,How often do listings fail review or underperform because of localization quality?
ASEAN-022,ecommerce,Cross-border returns and complaints require evidence assembly,customer service,cross-border merchant,manual chat screenshots and order lookup,case intake plus evidence pack generator,MEDIUM,HYPOTHESIS,E5,How much support time and refund leakage comes from poor case handling?
ASEAN-023,payments,Cross-border payment reconciliation exceptions are investigated manually,finance staff,exporting SME or merchant,bank portal and spreadsheet matching,reconciliation assistant plus exception triage,MEDIUM,HYPOTHESIS,E5_E6,How many unmatched payments occur and how long does each take to resolve?
ASEAN-024,trade_finance,Trade-finance document sets are checked manually for completeness,finance or export staff,exporting SME,bank feedback and manual checklist,document checklist plus discrepancy pre-screen,MEDIUM,HYPOTHESIS,E4,Which documentary discrepancies cause bank rejection delay or fees?
ASEAN-025,due_diligence,Supplier or buyer due-diligence evidence is gathered across many sources,SME owner or sales staff,exporting SME or importer,search engines databases and messaging,evidence collection assistant with source provenance,MEDIUM,HYPOTHESIS,E4_E5,Do firms already pay databases agents or staff for this work?
ASEAN-026,data_compliance,Small cross-border deployments lack a practical data-transfer checklist,SME product or IT staff,SME or solution vendor,ad hoc legal consultation,source-backed data-flow checklist plus lawyer escalation,HIGH,HYPOTHESIS,E1_E6,Which deployments are delayed or cancelled because compliance scope is unclear?
ASEAN-027,ai_governance,SMEs lack lightweight AI governance and risk-review processes,SME owner or IT lead,SME,informal usage with little control,lightweight governance checklist and audit trail,MEDIUM,HYPOTHESIS,E1_E6,Will SMEs pay before a customer regulator or partner requires evidence?
ASEAN-028,export_readiness,First-time exporters do not know the full sequence of export tasks,SME owner,exporting SME,consultants articles and trial-and-error,product-country export readiness navigator,HIGH,HYPOTHESIS,E4_E5,At what point will a first-time exporter pay for guided execution rather than free content?
ASEAN-029,procurement,Tender and procurement notices are manually converted into action lists,sales or bid staff,exporting SME,manual reading and spreadsheets,requirements extraction and bid checklist,MEDIUM,HYPOTHESIS,E1,How many relevant tenders are processed and what is the staff cost per bid?
ASEAN-030,knowledge_ops,Verified compliance answers are repeatedly rediscovered instead of reused,export or compliance team,exporting SME or service firm,chat history personal notes and repeated expert calls,verified Q&A knowledge base with provenance and expiry,MEDIUM,HYPOTHESIS,E3_E4,How much repeated expert or staff time could be avoided without increasing compliance risk?
