source_id,name,source_tier,owner,base_url,geography,indicator_scope,access_mode,refresh_cadence,automation_allowed,status
CN_NBS,国家统计局/国家数据,A,国家统计局,https://data.stats.gov.cn,China,"GDP;CPI;PPI;PMI;industrial;retail;investment;income;employment;population",PUBLIC_JSON_API,MONTHLY/QUARTERLY,"PUBLIC_ENDPOINT;RATE_LIMIT_UNKNOWN;TERMS_REVIEW_REQUIRED",ACTIVE_LIVE
CN_MOFCOM_DATA,商务部公共服务资源平台,A,商务部,https://opendata.mofcom.gov.cn,China,"social financing;consumption;trade;FDI;ODI;open-data catalogs",PUBLIC_JSON_API_HTTP_OFFICIAL,IRREGULAR/MONTHLY,"FREE_PUBLIC_ENDPOINT;OFFICIAL_HTTP_DOC;EXACT_HOST_PATH_ONLY;CORROBORATION_REQUIRED;NO_PAID_DATA",API_REACHABLE_DATA_UNAVAILABLE
CN_MOFCOM_CIF,商务预报,A,商务部,https://cif.mofcom.gov.cn,China,"consumer market;production materials;market monitoring",HTML/MANUAL,WEEKLY/MONTHLY,UNKNOWN,ACTIVE
CN_PBOC,中国人民银行,A,中国人民银行,https://www.pbc.gov.cn,China,"money;credit;social financing;deposits;loans;interbank rates;FX reserves",PUBLIC_HTML_RELEASE,MONTHLY/IRREGULAR,"BOUNDED_PUBLIC_FETCH;OFFICIAL_INDEX_DISCOVERY;NO_LOGIN;NO_PAID_DATA;PROVENANCE_HASH",ACTIVE_LIVE_RELEASE
CN_CUSTOMS,海关总署,A,海关总署,https://www.customs.gov.cn,China,"imports;exports;commodity trade;trade partners",HTML/MANUAL,MONTHLY,UNKNOWN,ACTIVE
CN_MOHRSS,人力资源社会保障部,A,人社部,https://www.mohrss.gov.cn,China,"employment;labor market;skills;social security",HTML/MANUAL,MONTHLY/QUARTERLY,UNKNOWN,ACTIVE
CN_CHINAJOB,中国就业网,A,人社系统,https://chinajob.mohrss.gov.cn,China,"employment cases;flexible work;job matching;local implementation",HTML/MANUAL,WEEKLY,UNKNOWN,ACTIVE
JS_GOV,江苏省人民政府,A,江苏省人民政府,https://www.jiangsu.gov.cn,Jiangsu,"regional policy;economy;industry;local implementation",HTML/MANUAL,DAILY,UNKNOWN,ACTIVE
JS_STATS,江苏省统计局,A,江苏省统计局,https://tj.jiangsu.gov.cn,Jiangsu,"GDP;industry;investment;retail;prices;income;population",PUBLIC_HTML_RELEASE,MONTHLY/QUARTERLY,"BOUNDED_PUBLIC_FETCH;INDEX_DISCOVERY_PENDING",ACTIVE_LIVE_RELEASE
XZ_GOV_STATS,徐州市政府/统计信息,A,徐州市政府,https://www.xz.gov.cn,Xuzhou,"GDP;industry;retail;investment;income;population;policy",HTML/MANUAL,MONTHLY/QUARTERLY,UNKNOWN,ACTIVE
XZ_GGZY,徐州市公共资源交易中心,A,徐州市公共资源交易中心,https://ggzy.zwb.xz.gov.cn,Xuzhou,"procurement;tenders;awards;contracts;public asset transactions;agency property-rights discovery",PUBLIC_HTML_LIST_DETAIL,DAILY,"BOUNDED_PUBLIC_FETCH;NO_LOGIN_BYPASS",ACTIVE_LIVE_PROCUREMENT_RESOURCE
EJY365_XZ_LINKED,e交易/Xuzhou官方外链产权详情,B,江苏易交易信息科技有限公司,https://www.ejy365.com,Xuzhou,"official-Xuzhou-linked property-rights detail;lease/transfer;price;term;idle/vacant evidence",PUBLIC_HTML_LINKED_DETAIL,DAILY,"DISCOVER_ONLY_FROM_XZ_OFFICIAL_LINKS;BOUNDED_PUBLIC_FETCH",ACTIVE_LIVE_RESOURCE_DETAIL
JS_GGZY_XZ_MIRROR,江苏省公共资源交易平台/Xuzhou产权静态镜像,A,江苏省公共资源交易平台,https://jsggzy.jszwfw.gov.cn,Xuzhou,"legacy agency property-rights mirror;asset lease/transfer;idle/vacant evidence",PUBLIC_HTML_MIRROR_LEGACY,DAILY,"BOUNDED_PUBLIC_FETCH;SOURCE_ORIGIN_VERIFY_REQUIRED",LEGACY_FALLBACK
XZ_SME,徐州市综合性企业服务平台,A/B,徐州市企业服务体系,https://www.xzsme.js.cn,Xuzhou,"enterprise policy;projects;enterprise requests;activities;business services",HTML/MANUAL,DAILY/WEEKLY,UNKNOWN,ACTIVE
